iter	Passed	Remaining
743	1743	12161	744	1744	12179	745	1745	12194	746	1746	12212	747	1747	12228	748	1748	12242	749	1749	12259	750	1750	12273	751	1751	12294	752	1752	12310	753	1753	12327	754	1754	12341	755	1755	12360	756	1756	12376	757	1757	12391	758	1758	12409	759	1759	12425	760	1760	12440	761	1761	12457	762	1762	12475	763	1763	12490	764	1764	12507	765	1765	12525	766	1766	12541	3809
767	12559	3793
768	12575	3777
769	12591	3760
770	12604	3743
771	12619	3727
772	12633	3709
773	12650	3693
774	12668	3677
775	12688	3662
776	12701	3645
777	12714	3628
778	12729	3611
779	12745	3594
780	12759	781	1781	12778	3562
782	12793	3545
783	12808	784	1784	12823	785	1785	12838	786	1786	12856	787	1787	12875	788	1788	12889	789	1789	12907	790	1790	12925	791	1791	12943	792	1792	12960	793	1793	12976	794	1794	12992	795	1795	13007	796	1796	13026	3317
797	13044	3302
798	13062	3286
799	13077	3269
800	13096	3253
801	13116	3238
802	13133	3222
803	13148	3205
804	13163	3188
805	13178	3172
806	13192	3155
807	13207	3138
808	13220	3121
809	13235	810	1810	13253	811	1811	13267	812	1812	13283	813	1813	13299	814	1814	13311	815	1815	13327	816	1816	13341	817	1817	13357	818	1818	13374	819	1819	13394	820	1820	13411	2924
821	13427	822	1822	13443	2891
823	13456	824	1824	13473	825	1825	13489	826	1826	13505	827	1827	13520	828	1828	13534	829	1829	13550	830	13555	2756
831	1831	13581	832	1832	13598	833	1833	13620	834	1834	13636	835	1835	13651	836	1836	13668	837	1837	13686	838	1838	13701	839	1839	13717	840	1840	13733	841	1841	13748	842	1842	13764	843	1843	13784	2547
844	13800	845	1845	13818	846	1846	13830	847	1847	13853	2483
848	13870	2466
849	13888	2450
850	13906	2434
851	13920	2418
852	13936	2401
853	13951	2385
854	13967	2368
855	13983	2352
856	14000	2336
857	14016	2319
858	14031	2303
859	14047	860	1860	14065	2270
861	14080	862	1862	14096	2237
863	14113	2221
864	14127	2204
865	14143	2188
866	14156	867	1867	14173	868	1868	14192	2139
869	14207	2122
870	14221	2106
871	14236	2089
872	14252	2073
873	14265	2056
874	14280	2040
875	14297	2023
876	14310	877	1877	14329	1991
878	14343	1974
879	14363	1958
880	14378	1942
881	14394	1925
882	14407	883	1883	14423	884	1884	14445	1877
885	14462	886	1886	14484	1845
887	14502	1829
888	14517	1812
889	14536	1796
890	14551	1780
891	14563	1763
892	14579	1746
893	14598	1730
894	14613	1714
895	14628	1697
896	14643	1681
897	14661	1665
898	14676	1648
899	14689	1632
900	14703	1615
901	14718	1599
902	14734	1582
903	14751	1566
904	14767	1550
905	14782	1533
906	14801	1517
907	14817	1501
908	14839	1485
909	14856	1469
910	14869	1452
911	14883	1436
912	14893	1419
913	14910	1402
914	14927	1386
915	14945	1370
916	14963	1354
917	14984	1338
918	15004	1322
919	15026	1306
920	15045	1290
921	15061	1274
922	15077	1257
923	15088	1241
924	15102	1224
925	15120	1208
926	15135	1191
927	15151	1175
928	15166	1159
929	15183	1142
930	15198	1126
931	15216	1110
932	15232	1093
933	15245	1077
934	15265	1061
935	15280	1044
936	15293	1028
937	15306	1011
938	15319	995
939	15333940	1940	15347941	1941	15364	946
942	15379943	1943	15392944	1944	15418	897
945	15432	880
946	15449	864
947	15465	848
948	15481	831
949	15494	815
950	15510	799
951	15525	782
952	15540	766
953	15556	750
954	15571	733
955	15585	717
956	15600	700
957	15613	684
958	15632	668
959	15647	651
960	15660	635
961	15677	619
962	15691	602
963	15708	586
964	15725	570
965	15738	553
966	15754	537
967	15769	521
968	15782	504
969	15798	488
970	15812	472
971	15828972	1972	15843973	1973	15859974	1974	15877975	1975	15889976	1976	15902977	15904	357
978	15919	341
979	15934	325
980	1980	15957981	1981	15974982	15977	276
983	15992	260
984	16006	243
985	16018	227
986	1986	16044987	1987	16061988	1988	16074989	1989	16087990	1990	16104991	1991	16122992	1992	16138	113
993	1615994	16156	81
995	16177	64
996	16200	48
997	16223	32
998	16247	16
999	16260	0
58	0
